name,name_normalized,brand,barcode,kcal,protein,carbs,fat,fibres,sodium,source,sold_in_fr,popularity
Star moutarde 200 g,star moutarde 200 g,Star,6111184000701,148.0,7.44,4.95,10.97,0,0,off,False,3490
tartine la Prairie classique 450g,tartine la prairie classique 450g,,6111203007520,635.0,0.5,0,70.0,0,700.0,off,False,3490
Kiri carré 36,kiri carre 36,Kiri,6111028001017,230.0,9.0,3.5,20.0,0,640.0,off,False,3489
crème cuisson,creme cuisson,Jaouda,6111242104617,190.0,2.5,4.5,18.0,0,0,off,False,3489
Plain fresh cheese,plain fresh cheese,Soummam,6130760003349,85.0,7.5,3.7,4.5,0,40.0,off,False,3488
Proteines Mangue,proteines mangue,Chergui,6111126005696,58.9,8.0,0,0.71,0,44.4,off,False,3488
indoumi goût poulet,indoumi gout poulet,Indomie,0089686120073,453.0,11.4,61.4,17.1,2.86,1840.0,off,False,3488
Crempro,crempro,gastro mixte,6111259090415,181.0,2.6,4.6,24.0,0,0,off,False,3487
Nescafe classic,nescafe classic,Nescafé,6111018903185,10.0,0.5,0.5,1.0,0.5,20.0,off,False,3487
Viva - Fromage,viva - fromage,Fromage,6111260232101,246.0,7.0,9.0,20.0,0,720.0,off,False,3485
Classic,classic,V.I.P,6111250470254,1.0,0.2,0.3,0,0,0,off,False,3484
GALETTE,galette,Excelo,6111249961466,424.0,5.7,65.7,15.3,0,248.0,off,False,3484
Jutos,jutos,Jaouda,6111242106666,42.2,0,10.0,0,0,20.0,off,False,3482
frut,frut,MARRAKECH,6111242926035,32.0,0,7.9,0,0,0.1,off,False,3479
TAM thon entier a l'huile,tam thon entier a l'huile,tam,3341430510019,231.0,25.8,0,14.2,0,400.0,off,False,3477
Pâte a tartiner,pate a tartiner,dulcetto,6111262820245,522.0,1.3,71.8,25.5,0,40.0,off,False,3476
Lait UHT Entier,lait uht entier,Dost,6111250474276,58.0,3.0,4.8,3.0,0,0,off,False,3475
top cookies original,top cookies original,Excelo,6111259341494,532.0,5.8,70.0,25.4,2.0,112.0,off,False,3475
Chocolat monogram,chocolat monogram,Macao,6111025120605,528.0,5.0,56.0,30.0,7.3,0,off,False,3474
Ricotta 1%,ricotta 1%,Jobnaty,6111246721384,225.0,18.0,5.0,1.0,0,200.0,off,False,3474
Ain Saiss,ain saiss,Eau Minérale,6111128000217,20.0,0,4.9,0,0,0,off,False,3473
Huile de table,huile de table,Lio,6111099000629,900.0,0,0,100.0,0,0,off,False,3470
nectar d'orange,nectar d'orange,Al Boustane,6111179003847,46.0,0,12.0,0,0,0,off,False,3470
FRUT MAX 2l,frut max 2l,MARRAKECH,6111242926806,38.0,0,9.5,0,0,100.0,off,False,3468
Marhaba,marhaba,,6111260680452,537.0,5.6,55.3,32.7,0,2000.0,off,False,3468
SALIM LBEN 440G,salim lben 440g,,6111032009924,39.5,2.3,5.9,0.7,0,95.0,off,False,3468
Confiture de Fraise,confiture de fraise,Extra,6111021012201,255.0,0,63.0,0,1.0,0,off,False,3467
TAM THON - Huile,tam thon - huile,TAM,3341430551449,231.0,25.8,0,14.2,0,400.0,off,False,3467
Sucre  enmer,sucre enmer,كوسومار,6111029000293,400.0,0,100.0,0,0,0,off,False,3466
cooky,cooky,be,6111259346352,448.96,4.64,57.67,22.19,3.56,108.0,off,False,3466
fondiz,fondiz,land'or Maroc industries,6111266680135,277.0,5.0,9.0,19.0,0,340.0,off,False,3464
Albane,albane,,6111265800497,59.0,3.2,4.8,3.0,0,0,off,False,3463
Lait demi-écrémé UHT,lait demi-ecreme uht,Délice,6194043001019,43.5,3.0,4.5,1.5,0,0,off,False,3462
6111203007377,6111203007377,,6111203007377,287.0,10.0,1.0,24.0,0,400.0,off,False,3461
Huile de table équilibrée,huile de table equilibree,Lesieur,6111024001974,900.0,0,0,100.0,0,0,off,False,3461
Suprême,supreme,Be Biscuit,6111259346741,486.0,5.9,53.5,28.0,1.8,84.0,off,False,3461
حليب كونديا 1 لتر,حليب كونديا 1 لتر,Candia,6130433000019,45.0,3.0,4.5,1.5,0,40.0,off,False,3461
Nooco,nooco,nooco,6111270961442,494.0,8.2,61.3,23.5,2.3,120.0,off,False,3460
Orangina 50cl,orangina 50cl,Orangina,8435185100955,43.0,0.1,10.3,0,0,0,off,False,3460
Gervais fromage à la créme,gervais fromage a la creme,Gervais,6111032008125,255.0,6.0,6.0,23.0,0,240.0,off,False,3459
Joly,joly,Les Conserveries Marocaines Doha,6111162000464,175.4,33.0,0.96,4.4,0,467.36,off,False,3459
Sergio,sergio,excelo,6111259344129,533.0,2.7,8.2,24.63,0,16.0,off,False,3459
Solis,solis,Nestle nutrition,8445291209039,68.0,1.2,8.6,3.6,0.6,400.0,off,False,3458
Peripella,peripella,Peripella,6111250474405,555.0,5.1,53.0,35.0,3.6,52.0,off,False,3457
Raib banan sghir,raib banan sghir,CHERGUI,6111126000424,76.0,2.5,13.0,1.6,0,0,off,False,3457
Assaisonnement au citron,assaisonnement au citron,Star,6111184003283,1.12,0,0.14,0,0,0,off,False,3456
6111203007360,6111203007360,talberjt,6111203007360,287.0,10.0,5.0,24.0,0,700.0,off,False,3454
Tchico peanuts,tchico peanuts,Révey,6111266750753,574.0,5.04,12.7,41.0,0,400.0,off,False,3454
délice noir,delice noir,Aiguebelle,6111017046470,534.0,5.2,47.0,36.0,0,4.4,off,False,3454
MUSCLY FROMAGE 24,muscly fromage 24,Jaouda,6111266960725,264.0,9.0,7.0,22.0,0,640.0,off,False,3452
Campo verde - Fromage,campo verde - fromage,Campo Verde,6111266680883,211.0,3.5,11.0,17.0,0,400.0,off,False,3450
Chocao energy,chocao energy,,6111180007339,403.0,6.1,86.0,3.8,0,0,off,False,3449
Filets De Maquereaux À L’huile Végétale,filets de maquereaux a l’huile vegetale,Marsa,0769503575261,217.0,27.1,0.5,11.6,0,4560.0,off,False,3449
Chergui raïb citron 450g,chergui raib citron 450g,Chergui,6111126000431,76.5,2.8,13.0,1.6,0,0.13,off,False,3448
Crème cuisson,creme cuisson,Jaouda,6111242109391,216.0,9.0,4.5,18.0,0,0,off,False,3447
Jben chergui *2,jben chergui *2,Chergui,6111126005306,188.8,8.4,2.8,16.0,0,240.0,off,False,3446
Khayrat tranches.M,khayrat tranches.m,Khayrat,6111245340937,271.0,12.0,0,21.6,0,0,off,False,3446
MultiGraines,multigraines,Bimbo,6111260961148,245.0,11.3,48.5,0.71,6.7,468.0,off,False,3446
LA HOLLANDAISE CLASSIQUE 64P,la hollandaise classique 64p,,6111203007384,287.0,5.0,10.0,24.0,0,240.0,off,False,3445
Lait,lait,,6111243590433,57.0,3.0,4.8,3.0,0,0,off,False,3445
Chocolat en poudre,chocolat en poudre,Chocao,6111180000194,381.0,4.4,79.5,2.2,6.4,16.0,off,False,3444
Confiture D'abricots Aicha,confiture d'abricots aicha,Aïcha,6111021013109,251.0,0,63.0,0,1.0,0,off,False,3444
Cornichons,cornichons,star,6111184000527,87.0,2.2,15.95,0.31,0,3.16,off,False,3444
Filets de sardines sans peau sans arêtes,filets de sardines sans peau sans aretes,MARINE,6111260550618,182.0,26.6,0.6,8.1,3.0,440.0,off,False,3444
Jben jaouda*2,jben jaouda*2,jaouda,6111242107526,235.0,8.0,3.5,21.0,0,0,off,False,3444
Jamila Maxi,jamila maxi,Raibi Jamila,6111032009887,70.0,1.6,11.4,1.3,0,0,off,False,3442
